@relation R_data_frame

@attribute L numeric
@attribute PAP numeric
@attribute Class {1,2,3}

@data
54.7,25.75,1
50.8,22.08,1
49.4,22.05,1
47.5,21.65,1
53.7,27.43,1
49,25.14,1
51.8,25.85,1
53.1,27.5,1
47,26.29,1
47.8,20.85,1
50.4,24.64,1
52.9,23.32,1
48,20.61,1
51.5,25.14,1
52.6,24.9,1
51.2,25.23,1
53.4,24.38,1
51.8,29.31,1
53,24.99,1
52.2,21.75,1
54.1,24.04,1
54.3,29.08,1
48.3,24.45,1
55.1,23.36,1
47.9,22.66,1
50.3,27.17,1
50.9,22.93,1
52.7,26.57,1
48.7,21.1,1
51.4,26.23,1
52.6,26.46,1
50.2,26.69,1
50.9,21.41,1
53.9,21.53,1
50.7,27.69,1
54.5,27.02,1
50.1,25.3,1
52.2,29.47,1
54.3,28.87,1
53.4,25.93,1
53.2,26.37,1
54.1,23.08,1
52.5,25.56,1
51.6,24.24,1
50.8,20.64,1
53.2,26.37,1
50.2,26.69,1
54.1,24.04,1
51.6,24.24,1
50.9,21.41,1
49,25.14,1
48,20.61,1
51.4,26.23,1
53.7,27.43,1
53,24.99,1
53.9,21.53,1
48.3,24.45,1
52.9,23.32,1
50.4,24.64,1
53.4,25.93,1
54.1,23.08,1
50.3,27.17,1
51.8,29.31,1
52.6,26.46,1
54.3,29.08,1
47,26.29,1
47.8,20.85,1
54.7,25.75,1
52.2,29.47,1
47.9,22.66,1
55.1,23.36,1
51.5,25.14,1
48.7,21.1,1
49.4,22.05,1
52.7,26.57,1
54.3,28.87,1
53.4,24.38,1
54.5,27.02,1
50.7,27.69,1
49.7,28.14,3
51.7,27.21,3
51,29.48,3
51.9,29.55,3
55.3,25.23,3
51,27.82,3
52.1,28.01,3
52.9,26.45,3
47.2,27.14,3
48.3,31.07,3
49.2,25.2,3
50.2,29.83,3
52.1,27.63,3
52.4,27.79,3
50.7,27.08,3
51.3,30.85,3
47.6,30.26,3
47.1,24.29,3
53,29.69,3
52.7,27.91,3
53.9,28.72,3
48.7,22.57,3
48.8,26.79,3
53.7,26.03,3
52.7,23.86,3
53.8,27.14,3
52.3,25.89,3
50.9,26.59,3
51.5,26.86,3
48.5,27.84,3
51.2,29.43,3
52.5,29.8,3
53.6,22.54,3
51.8,29.11,3
49,24.55,3
53.2,25.11,3
55.7,24.91,3
52.8,27.21,3
51,29.56,3
53.9,27.67,3
51.2,26.28,3
55.1,25.79,3
52.1,28.89,3
49.9,28.57,3
51.5,26.47,3
52.8,27.21,3
51.5,26.47,3
52.5,29.8,3
53.8,27.14,3
51,29.48,3
51.3,30.85,3
51.2,26.28,3
47.1,24.29,3
49.9,28.57,3
47.2,27.14,3
53.9,28.72,3
55.7,24.91,3
52.9,26.45,3
52.1,27.63,3
48.5,27.84,3
50.2,29.83,3
55.1,25.79,3
52.1,28.01,3
48.7,22.57,3
49,24.55,3
55.3,25.23,3
49.7,28.14,3
49.2,25.2,3
52.7,27.91,3
51.2,29.43,3
53.6,22.54,3
52.3,25.89,3
48.3,31.07,3
47.6,30.26,3
52.1,28.89,3
51,27.82,3
51.9,29.55,3
50.7,27.08,3
54.4,33.47,2
53.2,33.31,2
52.8,33.04,2
51.3,29.02,2
54.5,29.99,2
54.4,22.94,2
54,22.78,2
55.9,28.49,2
51.8,24.73,2
55.3,24.95,2
55.9,31.6,2
55.1,25.41,2
53.4,23.58,2
54.2,22.69,2
52.3,27.86,2
54.1,27.24,2
54.6,31.26,2
55.4,26.48,2
50.3,30.4,2
53.2,21.07,2
56.5,20.79,2
54,28.22,2
51.9,27.17,2
54.2,28.43,2
54.5,26.36,2
50.7,28.22,2
51.4,29.43,2
54.4,29.28,2
52,27.53,2
54.3,25.9,2
54.9,29.42,2
52.1,24.7,2
54.7,28,2
54.1,24.42,2
52.4,34.52,2
52.7,24.92,2
56.6,30.37,2
56.2,31.57,2
54.9,28.75,2
53.2,26.45,2
51.9,21.93,2
51.1,32.73,2
52.7,24.9,2
50.6,20.02,2
56,32.41,2
51.6,29.42,2
55.8,30.1,2
54.4,30.14,2
54.1,32.84,2
53.4,30.39,2
52.7,26.11,2
54.7,28,2
54.9,29.42,2
54.3,25.9,2
51.9,21.93,2
50.6,20.02,2
53.2,26.45,2
52.1,24.7,2
54.9,28.75,2
54.1,24.42,2
52.3,27.86,2
56.5,20.79,2
55.4,26.48,2
56.6,30.37,2
54.5,29.99,2
52.7,24.9,2
55.9,28.49,2
54.1,27.24,2
53.2,21.07,2
55.8,30.1,2
52.4,34.52,2
53.2,33.31,2
52.8,33.04,2
51.3,29.02,2
51.1,32.73,2
53.4,23.58,2
52.7,24.92,2
55.9,31.6,2
50.7,28.22,2
54.2,22.69,2
51.6,29.42,2
54.1,32.84,2
54.2,28.43,2
56,32.41,2
54.5,26.36,2
50.3,30.4,2
51.8,24.73,2
54.4,33.47,2
54,28.22,2
54.4,30.14,2
53.4,30.39,2
52,27.53,2
54.4,22.94,2
