@relation R_data_frame

@attribute L numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
54.7,0.109,1
50.8,0.222,1
49.4,0.232,1
47.5,0.249,1
53.7,0.284,1
49,0.287,1
51.8,0.288,1
53.1,0.314,1
47,0.324,1
47.8,0.332,1
50.4,0.334,1
52.9,0.337,1
48,0.338,1
51.5,0.35,1
52.6,0.373,1
51.2,0.384,1
53.4,0.386,1
51.8,0.411,1
53,0.42,1
52.2,0.422,1
54.1,0.43,1
54.3,0.439,1
48.3,0.441,1
55.1,0.444,1
47.9,0.456,1
50.3,0.465,1
50.9,0.468,1
52.7,0.469,1
48.7,0.482,1
51.4,0.499,1
52.6,0.505,1
50.2,0.53,1
50.9,0.548,1
53.9,0.549,1
50.7,0.568,1
54.5,0.579,1
50.1,0.589,1
52.2,0.621,1
54.3,0.646,1
53.4,0.663,1
53.2,0.677,1
54.1,0.691,1
52.5,0.704,1
51.6,0.721,1
50.8,1.136,1
53.2,0.677,1
50.2,0.53,1
54.1,0.43,1
51.6,0.721,1
50.9,0.548,1
49,0.287,1
48,0.338,1
51.4,0.499,1
53.7,0.284,1
53,0.42,1
53.9,0.549,1
48.3,0.441,1
52.9,0.337,1
50.4,0.334,1
53.4,0.663,1
54.1,0.691,1
50.3,0.465,1
51.8,0.411,1
52.6,0.505,1
54.3,0.439,1
47,0.324,1
47.8,0.332,1
54.7,0.109,1
52.2,0.621,1
47.9,0.456,1
55.1,0.444,1
51.5,0.35,1
48.7,0.482,1
49.4,0.232,1
52.7,0.469,1
54.3,0.646,1
53.4,0.386,1
54.5,0.579,1
50.7,0.568,1
49.7,0.276,3
51.7,0.284,3
51,0.306,3
51.9,0.308,3
55.3,0.316,3
51,0.321,3
52.1,0.328,3
52.9,0.331,3
47.2,0.331,3
48.3,0.331,3
49.2,0.336,3
50.2,0.336,3
52.1,0.359,3
52.4,0.361,3
50.7,0.38,3
51.3,0.381,3
47.6,0.384,3
47.1,0.385,3
53,0.398,3
52.7,0.4,3
53.9,0.407,3
48.7,0.415,3
48.8,0.416,3
53.7,0.416,3
52.7,0.419,3
53.8,0.427,3
52.3,0.431,3
50.9,0.439,3
51.5,0.44,3
48.5,0.445,3
51.2,0.478,3
52.5,0.486,3
53.6,0.495,3
51.8,0.496,3
49,0.516,3
53.2,0.525,3
55.7,0.534,3
52.8,0.536,3
51,0.546,3
53.9,0.584,3
51.2,0.592,3
55.1,0.623,3
52.1,0.628,3
49.9,0.645,3
51.5,0.691,3
52.8,0.536,3
51.5,0.691,3
52.5,0.486,3
53.8,0.427,3
51,0.306,3
51.3,0.381,3
51.2,0.592,3
47.1,0.385,3
49.9,0.645,3
47.2,0.331,3
53.9,0.407,3
55.7,0.534,3
52.9,0.331,3
52.1,0.359,3
48.5,0.445,3
50.2,0.336,3
55.1,0.623,3
52.1,0.328,3
48.7,0.415,3
49,0.516,3
55.3,0.316,3
49.7,0.276,3
49.2,0.336,3
52.7,0.4,3
51.2,0.478,3
53.6,0.495,3
52.3,0.431,3
48.3,0.331,3
47.6,0.384,3
52.1,0.628,3
51,0.321,3
51.9,0.308,3
50.7,0.38,3
54.4,0.277,2
53.2,0.32,2
52.8,0.32,2
51.3,0.333,2
54.5,0.338,2
54.4,0.342,2
54,0.367,2
55.9,0.373,2
51.8,0.38,2
55.3,0.381,2
55.9,0.387,2
55.1,0.388,2
53.4,0.393,2
54.2,0.396,2
52.3,0.398,2
54.1,0.402,2
54.6,0.404,2
55.4,0.407,2
50.3,0.408,2
53.2,0.411,2
56.5,0.412,2
54,0.418,2
51.9,0.419,2
54.2,0.422,2
54.5,0.423,2
50.7,0.427,2
51.4,0.428,2
54.4,0.436,2
52,0.44,2
54.3,0.443,2
54.9,0.447,2
52.1,0.45,2
54.7,0.462,2
54.1,0.464,2
52.4,0.474,2
52.7,0.478,2
56.6,0.494,2
56.2,0.498,2
54.9,0.499,2
53.2,0.5,2
51.9,0.501,2
51.1,0.512,2
52.7,0.519,2
50.6,0.527,2
56,0.528,2
51.6,0.541,2
55.8,0.549,2
54.4,0.618,2
54.1,0.667,2
53.4,0.707,2
52.7,0.744,2
54.7,0.462,2
54.9,0.447,2
54.3,0.443,2
51.9,0.501,2
50.6,0.527,2
53.2,0.5,2
52.1,0.45,2
54.9,0.499,2
54.1,0.464,2
52.3,0.398,2
56.5,0.412,2
55.4,0.407,2
56.6,0.494,2
54.5,0.338,2
52.7,0.519,2
55.9,0.373,2
54.1,0.402,2
53.2,0.411,2
55.8,0.549,2
52.4,0.474,2
53.2,0.32,2
52.8,0.32,2
51.3,0.333,2
51.1,0.512,2
53.4,0.393,2
52.7,0.478,2
55.9,0.387,2
50.7,0.427,2
54.2,0.396,2
51.6,0.541,2
54.1,0.667,2
54.2,0.422,2
56,0.528,2
54.5,0.423,2
50.3,0.408,2
51.8,0.38,2
54.4,0.277,2
54,0.418,2
54.4,0.618,2
53.4,0.707,2
52,0.44,2
54.4,0.342,2
