@relation R_data_frame

@attribute L numeric
@attribute a numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
54.7,2.8,0.109,1
50.8,4.2,0.222,1
49.4,2.7,0.232,1
47.5,6.7,0.249,1
53.7,5.1,0.284,1
49,5.6,0.287,1
51.8,5.1,0.288,1
53.1,5,0.314,1
47,3.7,0.324,1
47.8,4.6,0.332,1
50.4,4.7,0.334,1
52.9,6.4,0.337,1
48,4.4,0.338,1
51.5,3.3,0.35,1
52.6,5.6,0.373,1
51.2,5.4,0.384,1
53.4,6,0.386,1
51.8,3.4,0.411,1
53,3.8,0.42,1
52.2,4.7,0.422,1
54.1,5.6,0.43,1
54.3,5.5,0.439,1
48.3,6.1,0.441,1
55.1,4.7,0.444,1
47.9,5.9,0.456,1
50.3,3.2,0.465,1
50.9,3.3,0.468,1
52.7,4.2,0.469,1
48.7,4.7,0.482,1
51.4,3.1,0.499,1
52.6,4.8,0.505,1
50.2,4.6,0.53,1
50.9,5.6,0.548,1
53.9,4.9,0.549,1
50.7,4.1,0.568,1
54.5,3.9,0.579,1
50.1,5.9,0.589,1
52.2,4.1,0.621,1
54.3,3.6,0.646,1
53.4,5.4,0.663,1
53.2,5.1,0.677,1
54.1,4,0.691,1
52.5,5.4,0.704,1
51.6,3.7,0.721,1
50.8,5.6,1.136,1
53.2,5.1,0.677,1
50.2,4.6,0.53,1
54.1,5.6,0.43,1
51.6,3.7,0.721,1
50.9,5.6,0.548,1
49,5.6,0.287,1
48,4.4,0.338,1
51.4,3.1,0.499,1
53.7,5.1,0.284,1
53,3.8,0.42,1
53.9,4.9,0.549,1
48.3,6.1,0.441,1
52.9,6.4,0.337,1
50.4,4.7,0.334,1
53.4,5.4,0.663,1
54.1,4,0.691,1
50.3,3.2,0.465,1
51.8,3.4,0.411,1
52.6,4.8,0.505,1
54.3,5.5,0.439,1
47,3.7,0.324,1
47.8,4.6,0.332,1
54.7,2.8,0.109,1
52.2,4.1,0.621,1
47.9,5.9,0.456,1
55.1,4.7,0.444,1
51.5,3.3,0.35,1
48.7,4.7,0.482,1
49.4,2.7,0.232,1
52.7,4.2,0.469,1
54.3,3.6,0.646,1
53.4,6,0.386,1
54.5,3.9,0.579,1
50.7,4.1,0.568,1
49.7,5.4,0.276,3
51.7,5,0.284,3
51,5.2,0.306,3
51.9,3.9,0.308,3
55.3,5,0.316,3
51,5.3,0.321,3
52.1,4.3,0.328,3
52.9,4.8,0.331,3
47.2,5.8,0.331,3
48.3,7.3,0.331,3
49.2,5.8,0.336,3
50.2,4.7,0.336,3
52.1,5.8,0.359,3
52.4,7.2,0.361,3
50.7,5.5,0.38,3
51.3,4.3,0.381,3
47.6,4.7,0.384,3
47.1,4.5,0.385,3
53,4.6,0.398,3
52.7,4.7,0.4,3
53.9,4.2,0.407,3
48.7,4.4,0.415,3
48.8,6,0.416,3
53.7,6.6,0.416,3
52.7,4.5,0.419,3
53.8,4.2,0.427,3
52.3,4.6,0.431,3
50.9,3.5,0.439,3
51.5,6.6,0.44,3
48.5,7.1,0.445,3
51.2,6.4,0.478,3
52.5,4.2,0.486,3
53.6,5.8,0.495,3
51.8,5.9,0.496,3
49,6,0.516,3
53.2,4.6,0.525,3
55.7,5.9,0.534,3
52.8,5.1,0.536,3
51,4.4,0.546,3
53.9,4.5,0.584,3
51.2,7.1,0.592,3
55.1,5.9,0.623,3
52.1,4.9,0.628,3
49.9,5.4,0.645,3
51.5,5.9,0.691,3
52.8,5.1,0.536,3
51.5,5.9,0.691,3
52.5,4.2,0.486,3
53.8,4.2,0.427,3
51,5.2,0.306,3
51.3,4.3,0.381,3
51.2,7.1,0.592,3
47.1,4.5,0.385,3
49.9,5.4,0.645,3
47.2,5.8,0.331,3
53.9,4.2,0.407,3
55.7,5.9,0.534,3
52.9,4.8,0.331,3
52.1,5.8,0.359,3
48.5,7.1,0.445,3
50.2,4.7,0.336,3
55.1,5.9,0.623,3
52.1,4.3,0.328,3
48.7,4.4,0.415,3
49,6,0.516,3
55.3,5,0.316,3
49.7,5.4,0.276,3
49.2,5.8,0.336,3
52.7,4.7,0.4,3
51.2,6.4,0.478,3
53.6,5.8,0.495,3
52.3,4.6,0.431,3
48.3,7.3,0.331,3
47.6,4.7,0.384,3
52.1,4.9,0.628,3
51,5.3,0.321,3
51.9,3.9,0.308,3
50.7,5.5,0.38,3
54.4,4.5,0.277,2
53.2,5.5,0.32,2
52.8,5.5,0.32,2
51.3,5.3,0.333,2
54.5,6.8,0.338,2
54.4,4.7,0.342,2
54,4.2,0.367,2
55.9,5.8,0.373,2
51.8,6.8,0.38,2
55.3,3.5,0.381,2
55.9,4.1,0.387,2
55.1,5.8,0.388,2
53.4,5.9,0.393,2
54.2,6.7,0.396,2
52.3,8.8,0.398,2
54.1,6.3,0.402,2
54.6,7.6,0.404,2
55.4,4.1,0.407,2
50.3,8.4,0.408,2
53.2,4.6,0.411,2
56.5,4.6,0.412,2
54,4.9,0.418,2
51.9,5.5,0.419,2
54.2,6.6,0.422,2
54.5,4.2,0.423,2
50.7,4.8,0.427,2
51.4,6.8,0.428,2
54.4,5.2,0.436,2
52,3.9,0.44,2
54.3,5.3,0.443,2
54.9,4.5,0.447,2
52.1,6.3,0.45,2
54.7,3.8,0.462,2
54.1,6.7,0.464,2
52.4,6.8,0.474,2
52.7,7.8,0.478,2
56.6,8.3,0.494,2
56.2,5,0.498,2
54.9,4.4,0.499,2
53.2,5.7,0.5,2
51.9,6.1,0.501,2
51.1,5,0.512,2
52.7,7.7,0.519,2
50.6,4.3,0.527,2
56,6.1,0.528,2
51.6,5.7,0.541,2
55.8,6.5,0.549,2
54.4,6,0.618,2
54.1,5.4,0.667,2
53.4,6.5,0.707,2
52.7,7.5,0.744,2
54.7,3.8,0.462,2
54.9,4.5,0.447,2
54.3,5.3,0.443,2
51.9,6.1,0.501,2
50.6,4.3,0.527,2
53.2,5.7,0.5,2
52.1,6.3,0.45,2
54.9,4.4,0.499,2
54.1,6.7,0.464,2
52.3,8.8,0.398,2
56.5,4.6,0.412,2
55.4,4.1,0.407,2
56.6,8.3,0.494,2
54.5,6.8,0.338,2
