@relation R_data_frame

@attribute L numeric
@attribute a numeric
@attribute b numeric
@attribute PAP numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
54.7,2.8,12.2,25.75,0.109,1
50.8,4.2,12,22.08,0.222,1
49.4,2.7,10.9,22.05,0.232,1
47.5,6.7,12.7,21.65,0.249,1
53.7,5.1,14.1,27.43,0.284,1
49,5.6,13.2,25.14,0.287,1
51.8,5.1,12.7,25.85,0.288,1
53.1,5,13.3,27.5,0.314,1
47,3.7,10.6,26.29,0.324,1
47.8,4.6,11.8,20.85,0.332,1
50.4,4.7,13,24.64,0.334,1
52.9,6.4,14,23.32,0.337,1
48,4.4,11,20.61,0.338,1
51.5,3.3,11.9,25.14,0.35,1
52.6,5.6,13.9,24.9,0.373,1
51.2,5.4,12.2,25.23,0.384,1
53.4,6,14.7,24.38,0.386,1
51.8,3.4,12.1,29.31,0.411,1
53,3.8,12.5,24.99,0.42,1
52.2,4.7,13.2,21.75,0.422,1
54.1,5.6,14.8,24.04,0.43,1
54.3,5.5,14.1,29.08,0.439,1
48.3,6.1,12.7,24.45,0.441,1
55.1,4.7,14.9,23.36,0.444,1
47.9,5.9,12.7,22.66,0.456,1
50.3,3.2,11.5,27.17,0.465,1
50.9,3.3,11.4,22.93,0.468,1
52.7,4.2,13,26.57,0.469,1
48.7,4.7,11.9,21.1,0.482,1
51.4,3.1,11.6,26.23,0.499,1
52.6,4.8,13,26.46,0.505,1
50.2,4.6,12.3,26.69,0.53,1
50.9,5.6,13.3,21.41,0.548,1
53.9,4.9,13.9,21.53,0.549,1
50.7,4.1,12.2,27.69,0.568,1
54.5,3.9,13.5,27.02,0.579,1
50.1,5.9,14.4,25.3,0.589,1
52.2,4.1,13.5,29.47,0.621,1
54.3,3.6,13.5,28.87,0.646,1
53.4,5.4,14.6,25.93,0.663,1
53.2,5.1,13.9,26.37,0.677,1
54.1,4,14.9,23.08,0.691,1
52.5,5.4,14.2,25.56,0.704,1
51.6,3.7,11.9,24.24,0.721,1
50.8,5.6,12.7,20.64,1.136,1
53.2,5.1,13.9,26.37,0.677,1
50.2,4.6,12.3,26.69,0.53,1
54.1,5.6,14.8,24.04,0.43,1
51.6,3.7,11.9,24.24,0.721,1
50.9,5.6,13.3,21.41,0.548,1
49,5.6,13.2,25.14,0.287,1
48,4.4,11,20.61,0.338,1
51.4,3.1,11.6,26.23,0.499,1
53.7,5.1,14.1,27.43,0.284,1
53,3.8,12.5,24.99,0.42,1
53.9,4.9,13.9,21.53,0.549,1
48.3,6.1,12.7,24.45,0.441,1
52.9,6.4,14,23.32,0.337,1
50.4,4.7,13,24.64,0.334,1
53.4,5.4,14.6,25.93,0.663,1
54.1,4,14.9,23.08,0.691,1
50.3,3.2,11.5,27.17,0.465,1
51.8,3.4,12.1,29.31,0.411,1
52.6,4.8,13,26.46,0.505,1
54.3,5.5,14.1,29.08,0.439,1
47,3.7,10.6,26.29,0.324,1
47.8,4.6,11.8,20.85,0.332,1
54.7,2.8,12.2,25.75,0.109,1
52.2,4.1,13.5,29.47,0.621,1
47.9,5.9,12.7,22.66,0.456,1
55.1,4.7,14.9,23.36,0.444,1
51.5,3.3,11.9,25.14,0.35,1
48.7,4.7,11.9,21.1,0.482,1
49.4,2.7,10.9,22.05,0.232,1
