@relation R_data_frame

@attribute PAP numeric
@attribute Class {1,2,3}

@data
25.75,1
22.08,1
22.05,1
21.65,1
27.43,1
25.14,1
25.85,1
27.5,1
26.29,1
20.85,1
24.64,1
23.32,1
20.61,1
25.14,1
24.9,1
25.23,1
24.38,1
29.31,1
24.99,1
21.75,1
24.04,1
29.08,1
24.45,1
23.36,1
22.66,1
27.17,1
22.93,1
26.57,1
21.1,1
26.23,1
26.46,1
26.69,1
21.41,1
21.53,1
27.69,1
27.02,1
25.3,1
29.47,1
28.87,1
25.93,1
26.37,1
23.08,1
25.56,1
24.24,1
20.64,1
26.37,1
26.69,1
24.04,1
24.24,1
21.41,1
25.14,1
20.61,1
26.23,1
27.43,1
24.99,1
21.53,1
24.45,1
23.32,1
24.64,1
25.93,1
23.08,1
27.17,1
29.31,1
26.46,1
29.08,1
26.29,1
20.85,1
25.75,1
29.47,1
22.66,1
23.36,1
25.14,1
21.1,1
22.05,1
26.57,1
28.87,1
24.38,1
27.02,1
27.69,1
28.14,3
27.21,3
29.48,3
29.55,3
25.23,3
27.82,3
28.01,3
26.45,3
27.14,3
31.07,3
25.2,3
29.83,3
27.63,3
27.79,3
27.08,3
30.85,3
30.26,3
24.29,3
29.69,3
27.91,3
28.72,3
22.57,3
26.79,3
26.03,3
23.86,3
27.14,3
25.89,3
26.59,3
26.86,3
27.84,3
29.43,3
29.8,3
22.54,3
29.11,3
24.55,3
25.11,3
24.91,3
27.21,3
29.56,3
27.67,3
26.28,3
25.79,3
28.89,3
28.57,3
26.47,3
27.21,3
26.47,3
29.8,3
27.14,3
29.48,3
30.85,3
26.28,3
24.29,3
28.57,3
27.14,3
28.72,3
24.91,3
26.45,3
27.63,3
27.84,3
29.83,3
25.79,3
28.01,3
22.57,3
24.55,3
25.23,3
28.14,3
25.2,3
27.91,3
29.43,3
22.54,3
25.89,3
31.07,3
30.26,3
28.89,3
27.82,3
29.55,3
27.08,3
33.47,2
33.31,2
33.04,2
29.02,2
29.99,2
22.94,2
22.78,2
28.49,2
24.73,2
24.95,2
31.6,2
25.41,2
23.58,2
22.69,2
27.86,2
27.24,2
31.26,2
26.48,2
30.4,2
21.07,2
20.79,2
28.22,2
27.17,2
28.43,2
26.36,2
28.22,2
29.43,2
29.28,2
27.53,2
25.9,2
29.42,2
24.7,2
28,2
24.42,2
34.52,2
24.92,2
30.37,2
31.57,2
28.75,2
26.45,2
21.93,2
32.73,2
24.9,2
20.02,2
32.41,2
29.42,2
30.1,2
30.14,2
32.84,2
30.39,2
26.11,2
28,2
29.42,2
25.9,2
21.93,2
20.02,2
26.45,2
24.7,2
28.75,2
24.42,2
27.86,2
20.79,2
26.48,2
30.37,2
29.99,2
24.9,2
28.49,2
27.24,2
21.07,2
30.1,2
34.52,2
33.31,2
33.04,2
29.02,2
32.73,2
23.58,2
24.92,2
31.6,2
28.22,2
22.69,2
29.42,2
32.84,2
28.43,2
32.41,2
26.36,2
30.4,2
24.73,2
33.47,2
28.22,2
30.14,2
30.39,2
27.53,2
22.94,2
