@relation R_data_frame

@attribute a numeric
@attribute b numeric
@attribute ph numeric
@attribute Class {1,2,3}

@data
2.8,12.2,5.77,1
4.2,12,5.58,1
2.7,10.9,5.73,1
6.7,12.7,5.54,1
5.1,14.1,5.42,1
5.6,13.2,5.6,1
5.1,12.7,5.48,1
5,13.3,5.55,1
3.7,10.6,5.67,1
4.6,11.8,5.64,1
4.7,13,5.55,1
6.4,14,5.66,1
4.4,11,5.41,1
3.3,11.9,5.48,1
5.6,13.9,5.57,1
5.4,12.2,5.44,1
6,14.7,5.56,1
3.4,12.1,5.58,1
3.8,12.5,5.62,1
4.7,13.2,5.45,1
5.6,14.8,5.64,1
5.5,14.1,5.54,1
6.1,12.7,5.6,1
4.7,14.9,5.62,1
5.9,12.7,5.68,1
3.2,11.5,5.52,1
3.3,11.4,5.58,1
4.2,13,5.4,1
4.7,11.9,5.61,1
3.1,11.6,5.48,1
4.8,13,5.54,1
4.6,12.3,5.66,1
5.6,13.3,5.63,1
4.9,13.9,5.64,1
4.1,12.2,5.75,1
3.9,13.5,5.57,1
5.9,14.4,5.48,1
4.1,13.5,5.5,1
3.6,13.5,5.59,1
5.4,14.6,5.55,1
5.1,13.9,5.64,1
4,14.9,5.68,1
5.4,14.2,5.35,1
3.7,11.9,5.66,1
5.6,12.7,5.41,1
5.1,13.9,5.64,1
4.6,12.3,5.66,1
5.6,14.8,5.64,1
3.7,11.9,5.66,1
5.6,13.3,5.63,1
5.6,13.2,5.6,1
4.4,11,5.41,1
3.1,11.6,5.48,1
5.1,14.1,5.42,1
3.8,12.5,5.62,1
4.9,13.9,5.64,1
6.1,12.7,5.6,1
6.4,14,5.66,1
4.7,13,5.55,1
5.4,14.6,5.55,1
4,14.9,5.68,1
3.2,11.5,5.52,1
3.4,12.1,5.58,1
4.8,13,5.54,1
5.5,14.1,5.54,1
3.7,10.6,5.67,1
4.6,11.8,5.64,1
2.8,12.2,5.77,1
4.1,13.5,5.5,1
5.9,12.7,5.68,1
4.7,14.9,5.62,1
3.3,11.9,5.48,1
4.7,11.9,5.61,1
2.7,10.9,5.73,1
4.2,13,5.4,1
3.6,13.5,5.59,1
6,14.7,5.56,1
3.9,13.5,5.57,1
4.1,12.2,5.75,1
5.4,11.7,5.95,3
5,12.5,5.82,3
