@relation R_data_frame

@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute Class {1,2,3}

@data
12.2,25.75,5.77,1
12,22.08,5.58,1
10.9,22.05,5.73,1
12.7,21.65,5.54,1
14.1,27.43,5.42,1
13.2,25.14,5.6,1
12.7,25.85,5.48,1
13.3,27.5,5.55,1
10.6,26.29,5.67,1
11.8,20.85,5.64,1
13,24.64,5.55,1
14,23.32,5.66,1
11,20.61,5.41,1
11.9,25.14,5.48,1
13.9,24.9,5.57,1
12.2,25.23,5.44,1
14.7,24.38,5.56,1
12.1,29.31,5.58,1
12.5,24.99,5.62,1
13.2,21.75,5.45,1
14.8,24.04,5.64,1
14.1,29.08,5.54,1
12.7,24.45,5.6,1
14.9,23.36,5.62,1
12.7,22.66,5.68,1
11.5,27.17,5.52,1
11.4,22.93,5.58,1
13,26.57,5.4,1
11.9,21.1,5.61,1
11.6,26.23,5.48,1
13,26.46,5.54,1
12.3,26.69,5.66,1
13.3,21.41,5.63,1
13.9,21.53,5.64,1
12.2,27.69,5.75,1
13.5,27.02,5.57,1
14.4,25.3,5.48,1
13.5,29.47,5.5,1
13.5,28.87,5.59,1
14.6,25.93,5.55,1
13.9,26.37,5.64,1
14.9,23.08,5.68,1
14.2,25.56,5.35,1
11.9,24.24,5.66,1
12.7,20.64,5.41,1
13.9,26.37,5.64,1
12.3,26.69,5.66,1
14.8,24.04,5.64,1
11.9,24.24,5.66,1
13.3,21.41,5.63,1
13.2,25.14,5.6,1
11,20.61,5.41,1
11.6,26.23,5.48,1
14.1,27.43,5.42,1
12.5,24.99,5.62,1
13.9,21.53,5.64,1
12.7,24.45,5.6,1
14,23.32,5.66,1
13,24.64,5.55,1
14.6,25.93,5.55,1
14.9,23.08,5.68,1
11.5,27.17,5.52,1
12.1,29.31,5.58,1
13,26.46,5.54,1
14.1,29.08,5.54,1
10.6,26.29,5.67,1
11.8,20.85,5.64,1
12.2,25.75,5.77,1
13.5,29.47,5.5,1
12.7,22.66,5.68,1
14.9,23.36,5.62,1
11.9,25.14,5.48,1
11.9,21.1,5.61,1
10.9,22.05,5.73,1
13,26.57,5.4,1
13.5,28.87,5.59,1
14.7,24.38,5.56,1
13.5,27.02,5.57,1
12.2,27.69,5.75,1
11.7,28.14,5.95,3
12.5,27.21,5.82,3
12.8,29.48,5.88,3
11.1,29.55,5.78,3
14.2,25.23,5.75,3
12.4,27.82,5.89,3
13.1,28.01,5.75,3
12.9,26.45,5.82,3
11.2,27.14,5.86,3
10.8,31.07,5.88,3
11.9,25.2,5.72,3
