@relation R_data_frame

@attribute b numeric
@attribute PAP numeric
@attribute ph numeric
@attribute TBARS numeric
@attribute Class {1,2,3}

@data
12.2,25.75,5.77,0.109,1
12,22.08,5.58,0.222,1
10.9,22.05,5.73,0.232,1
12.7,21.65,5.54,0.249,1
14.1,27.43,5.42,0.284,1
13.2,25.14,5.6,0.287,1
12.7,25.85,5.48,0.288,1
13.3,27.5,5.55,0.314,1
10.6,26.29,5.67,0.324,1
11.8,20.85,5.64,0.332,1
13,24.64,5.55,0.334,1
14,23.32,5.66,0.337,1
11,20.61,5.41,0.338,1
11.9,25.14,5.48,0.35,1
13.9,24.9,5.57,0.373,1
12.2,25.23,5.44,0.384,1
14.7,24.38,5.56,0.386,1
12.1,29.31,5.58,0.411,1
12.5,24.99,5.62,0.42,1
13.2,21.75,5.45,0.422,1
14.8,24.04,5.64,0.43,1
14.1,29.08,5.54,0.439,1
12.7,24.45,5.6,0.441,1
14.9,23.36,5.62,0.444,1
12.7,22.66,5.68,0.456,1
11.5,27.17,5.52,0.465,1
11.4,22.93,5.58,0.468,1
13,26.57,5.4,0.469,1
11.9,21.1,5.61,0.482,1
11.6,26.23,5.48,0.499,1
13,26.46,5.54,0.505,1
12.3,26.69,5.66,0.53,1
13.3,21.41,5.63,0.548,1
13.9,21.53,5.64,0.549,1
12.2,27.69,5.75,0.568,1
13.5,27.02,5.57,0.579,1
14.4,25.3,5.48,0.589,1
13.5,29.47,5.5,0.621,1
13.5,28.87,5.59,0.646,1
14.6,25.93,5.55,0.663,1
13.9,26.37,5.64,0.677,1
14.9,23.08,5.68,0.691,1
14.2,25.56,5.35,0.704,1
11.9,24.24,5.66,0.721,1
12.7,20.64,5.41,1.136,1
13.9,26.37,5.64,0.677,1
12.3,26.69,5.66,0.53,1
14.8,24.04,5.64,0.43,1
11.9,24.24,5.66,0.721,1
13.3,21.41,5.63,0.548,1
13.2,25.14,5.6,0.287,1
11,20.61,5.41,0.338,1
11.6,26.23,5.48,0.499,1
14.1,27.43,5.42,0.284,1
12.5,24.99,5.62,0.42,1
13.9,21.53,5.64,0.549,1
12.7,24.45,5.6,0.441,1
14,23.32,5.66,0.337,1
13,24.64,5.55,0.334,1
14.6,25.93,5.55,0.663,1
14.9,23.08,5.68,0.691,1
11.5,27.17,5.52,0.465,1
12.1,29.31,5.58,0.411,1
13,26.46,5.54,0.505,1
14.1,29.08,5.54,0.439,1
10.6,26.29,5.67,0.324,1
11.8,20.85,5.64,0.332,1
12.2,25.75,5.77,0.109,1
13.5,29.47,5.5,0.621,1
12.7,22.66,5.68,0.456,1
14.9,23.36,5.62,0.444,1
11.9,25.14,5.48,0.35,1
11.9,21.1,5.61,0.482,1
10.9,22.05,5.73,0.232,1
13,26.57,5.4,0.469,1
13.5,28.87,5.59,0.646,1
14.7,24.38,5.56,0.386,1
13.5,27.02,5.57,0.579,1
12.2,27.69,5.75,0.568,1
11.7,28.14,5.95,0.276,3
12.5,27.21,5.82,0.284,3
12.8,29.48,5.88,0.306,3
11.1,29.55,5.78,0.308,3
14.2,25.23,5.75,0.316,3
12.4,27.82,5.89,0.321,3
13.1,28.01,5.75,0.328,3
12.9,26.45,5.82,0.331,3
11.2,27.14,5.86,0.331,3
10.8,31.07,5.88,0.331,3
11.9,25.2,5.72,0.336,3
11.8,29.83,5.88,0.336,3
12.5,27.63,5.79,0.359,3
15.6,27.79,5.75,0.361,3
12.5,27.08,5.71,0.38,3
12.1,30.85,5.75,0.381,3
11.1,30.26,5.9,0.384,3
10,24.29,5.85,0.385,3
13.9,29.69,5.77,0.398,3
11.9,27.91,5.82,0.4,3
13.9,28.72,5.63,0.407,3
11.2,22.57,5.86,0.415,3
12.1,26.79,5.77,0.416,3
14.5,26.03,5.8,0.416,3
12.7,23.86,5.79,0.419,3
13.1,27.14,5.74,0.427,3
12.2,25.89,5.79,0.431,3
10.5,26.59,5.84,0.439,3
13.6,26.86,5.82,0.44,3
11.6,27.84,5.84,0.445,3
14.8,29.43,5.71,0.478,3
12.6,29.8,5.87,0.486,3
14.8,22.54,5.73,0.495,3
13.1,29.11,5.66,0.496,3
10.5,24.55,5.9,0.516,3
12.7,25.11,5.86,0.525,3
14.2,24.91,5.69,0.534,3
13.8,27.21,5.84,0.536,3
12.1,29.56,5.6,0.546,3
13.3,27.67,5.69,0.584,3
13.2,26.28,5.79,0.592,3
14.6,25.79,5.75,0.623,3
13.4,28.89,5.73,0.628,3
11.9,28.57,5.77,0.645,3
13.2,26.47,5.61,0.691,3
13.8,27.21,5.84,0.536,3
13.2,26.47,5.61,0.691,3
12.6,29.8,5.87,0.486,3
13.1,27.14,5.74,0.427,3
12.8,29.48,5.88,0.306,3
12.1,30.85,5.75,0.381,3
13.2,26.28,5.79,0.592,3
10,24.29,5.85,0.385,3
11.9,28.57,5.77,0.645,3
11.2,27.14,5.86,0.331,3
13.9,28.72,5.63,0.407,3
14.2,24.91,5.69,0.534,3
12.9,26.45,5.82,0.331,3
12.5,27.63,5.79,0.359,3
11.6,27.84,5.84,0.445,3
11.8,29.83,5.88,0.336,3
14.6,25.79,5.75,0.623,3
13.1,28.01,5.75,0.328,3
11.2,22.57,5.86,0.415,3
10.5,24.55,5.9,0.516,3
14.2,25.23,5.75,0.316,3
11.7,28.14,5.95,0.276,3
11.9,25.2,5.72,0.336,3
11.9,27.91,5.82,0.4,3
14.8,29.43,5.71,0.478,3
14.8,22.54,5.73,0.495,3
12.2,25.89,5.79,0.431,3
10.8,31.07,5.88,0.331,3
11.1,30.26,5.9,0.384,3
13.4,28.89,5.73,0.628,3
12.4,27.82,5.89,0.321,3
11.1,29.55,5.78,0.308,3
12.5,27.08,5.71,0.38,3
12.6,33.47,5.8,0.277,2
12.7,33.31,5.54,0.32,2
16.1,33.04,5.75,0.32,2
14.7,29.02,5.74,0.333,2
13.1,29.99,5.7,0.338,2
14.5,22.94,5.63,0.342,2
12.7,22.78,5.8,0.367,2
16.4,28.49,5.72,0.373,2
13.2,24.73,5.96,0.38,2
12.2,24.95,5.98,0.381,2
12.2,31.6,5.75,0.387,2
13.8,25.41,5.76,0.388,2
13.9,23.58,5.7,0.393,2
13.5,22.69,5.88,0.396,2
17.3,27.86,5.7,0.398,2
13.2,27.24,5.7,0.402,2
16,31.26,5.7,0.404,2
13.1,26.48,5.98,0.407,2
15.6,30.4,5.8,0.408,2
12,21.07,6.02,0.411,2
14.2,20.79,5.58,0.412,2
13.5,28.22,6.01,0.418,2
12.2,27.17,5.77,0.419,2
15.5,28.43,5.71,0.422,2
13.7,26.36,5.68,0.423,2
11,28.22,5.86,0.427,2
14.3,29.43,5.83,0.428,2
14.2,29.28,5.7,0.436,2
11.1,27.53,5.9,0.44,2
14.4,25.9,5.84,0.443,2
12.7,29.42,5.82,0.447,2
12.6,24.7,5.9,0.45,2
13.5,28,5.89,0.462,2
15.4,24.42,5.77,0.464,2
14.7,34.52,5.53,0.474,2
12.3,24.92,5.63,0.478,2
16.4,30.37,5.61,0.494,2
14.5,31.57,5.67,0.498,2
13.3,28.75,5.69,0.499,2
12.5,26.45,5.8,0.5,2
13.2,21.93,5.83,0.501,2
12,32.73,5.7,0.512,2
14.4,24.9,5.84,0.519,2
10.1,20.02,5.87,0.527,2
16.2,32.41,5.68,0.528,2
13.1,29.42,5.82,0.541,2
17.9,30.1,5.62,0.549,2
16,30.14,5.81,0.618,2
15.3,32.84,5.59,0.667,2
14.7,30.39,5.88,0.707,2
15.5,26.11,5.8,0.744,2
13.5,28,5.89,0.462,2
12.7,29.42,5.82,0.447,2
14.4,25.9,5.84,0.443,2
13.2,21.93,5.83,0.501,2
10.1,20.02,5.87,0.527,2
12.5,26.45,5.8,0.5,2
12.6,24.7,5.9,0.45,2
13.3,28.75,5.69,0.499,2
15.4,24.42,5.77,0.464,2
17.3,27.86,5.7,0.398,2
14.2,20.79,5.58,0.412,2
13.1,26.48,5.98,0.407,2
16.4,30.37,5.61,0.494,2
13.1,29.99,5.7,0.338,2
14.4,24.9,5.84,0.519,2
16.4,28.49,5.72,0.373,2
13.2,27.24,5.7,0.402,2
12,21.07,6.02,0.411,2
17.9,30.1,5.62,0.549,2
14.7,34.52,5.53,0.474,2
12.7,33.31,5.54,0.32,2
16.1,33.04,5.75,0.32,2
14.7,29.02,5.74,0.333,2
12,32.73,5.7,0.512,2
13.9,23.58,5.7,0.393,2
12.3,24.92,5.63,0.478,2
12.2,31.6,5.75,0.387,2
11,28.22,5.86,0.427,2
13.5,22.69,5.88,0.396,2
13.1,29.42,5.82,0.541,2
15.3,32.84,5.59,0.667,2
15.5,28.43,5.71,0.422,2
16.2,32.41,5.68,0.528,2
13.7,26.36,5.68,0.423,2
15.6,30.4,5.8,0.408,2
13.2,24.73,5.96,0.38,2
12.6,33.47,5.8,0.277,2
13.5,28.22,6.01,0.418,2
16,30.14,5.81,0.618,2
14.7,30.39,5.88,0.707,2
11.1,27.53,5.9,0.44,2
14.5,22.94,5.63,0.342,2
