@relation R_data_frame

@attribute b numeric
@attribute ph numeric
@attribute Class {1,2,3}

@data
12.2,5.77,1
12,5.58,1
10.9,5.73,1
12.7,5.54,1
14.1,5.42,1
13.2,5.6,1
12.7,5.48,1
13.3,5.55,1
10.6,5.67,1
11.8,5.64,1
13,5.55,1
14,5.66,1
11,5.41,1
11.9,5.48,1
13.9,5.57,1
12.2,5.44,1
14.7,5.56,1
12.1,5.58,1
12.5,5.62,1
13.2,5.45,1
14.8,5.64,1
14.1,5.54,1
12.7,5.6,1
14.9,5.62,1
12.7,5.68,1
11.5,5.52,1
11.4,5.58,1
13,5.4,1
11.9,5.61,1
11.6,5.48,1
13,5.54,1
12.3,5.66,1
13.3,5.63,1
13.9,5.64,1
12.2,5.75,1
13.5,5.57,1
14.4,5.48,1
13.5,5.5,1
13.5,5.59,1
14.6,5.55,1
13.9,5.64,1
14.9,5.68,1
14.2,5.35,1
11.9,5.66,1
12.7,5.41,1
13.9,5.64,1
12.3,5.66,1
14.8,5.64,1
11.9,5.66,1
13.3,5.63,1
13.2,5.6,1
11,5.41,1
11.6,5.48,1
14.1,5.42,1
12.5,5.62,1
13.9,5.64,1
12.7,5.6,1
14,5.66,1
13,5.55,1
14.6,5.55,1
14.9,5.68,1
11.5,5.52,1
12.1,5.58,1
13,5.54,1
14.1,5.54,1
10.6,5.67,1
11.8,5.64,1
12.2,5.77,1
13.5,5.5,1
12.7,5.68,1
14.9,5.62,1
11.9,5.48,1
11.9,5.61,1
10.9,5.73,1
13,5.4,1
13.5,5.59,1
14.7,5.56,1
13.5,5.57,1
12.2,5.75,1
11.7,5.95,3
12.5,5.82,3
12.8,5.88,3
11.1,5.78,3
14.2,5.75,3
12.4,5.89,3
13.1,5.75,3
12.9,5.82,3
11.2,5.86,3
10.8,5.88,3
11.9,5.72,3
11.8,5.88,3
12.5,5.79,3
15.6,5.75,3
12.5,5.71,3
12.1,5.75,3
11.1,5.9,3
10,5.85,3
13.9,5.77,3
11.9,5.82,3
13.9,5.63,3
11.2,5.86,3
12.1,5.77,3
14.5,5.8,3
12.7,5.79,3
13.1,5.74,3
12.2,5.79,3
10.5,5.84,3
13.6,5.82,3
11.6,5.84,3
14.8,5.71,3
12.6,5.87,3
14.8,5.73,3
13.1,5.66,3
10.5,5.9,3
12.7,5.86,3
14.2,5.69,3
13.8,5.84,3
12.1,5.6,3
13.3,5.69,3
13.2,5.79,3
14.6,5.75,3
13.4,5.73,3
11.9,5.77,3
13.2,5.61,3
13.8,5.84,3
13.2,5.61,3
12.6,5.87,3
13.1,5.74,3
12.8,5.88,3
12.1,5.75,3
13.2,5.79,3
10,5.85,3
11.9,5.77,3
11.2,5.86,3
13.9,5.63,3
14.2,5.69,3
12.9,5.82,3
12.5,5.79,3
11.6,5.84,3
11.8,5.88,3
14.6,5.75,3
13.1,5.75,3
11.2,5.86,3
10.5,5.9,3
14.2,5.75,3
11.7,5.95,3
11.9,5.72,3
11.9,5.82,3
14.8,5.71,3
14.8,5.73,3
12.2,5.79,3
10.8,5.88,3
11.1,5.9,3
13.4,5.73,3
12.4,5.89,3
11.1,5.78,3
12.5,5.71,3
12.6,5.8,2
12.7,5.54,2
16.1,5.75,2
14.7,5.74,2
13.1,5.7,2
14.5,5.63,2
12.7,5.8,2
16.4,5.72,2
13.2,5.96,2
12.2,5.98,2
12.2,5.75,2
13.8,5.76,2
13.9,5.7,2
13.5,5.88,2
17.3,5.7,2
13.2,5.7,2
16,5.7,2
13.1,5.98,2
15.6,5.8,2
12,6.02,2
14.2,5.58,2
13.5,6.01,2
12.2,5.77,2
15.5,5.71,2
13.7,5.68,2
11,5.86,2
14.3,5.83,2
14.2,5.7,2
11.1,5.9,2
14.4,5.84,2
12.7,5.82,2
12.6,5.9,2
13.5,5.89,2
15.4,5.77,2
14.7,5.53,2
12.3,5.63,2
16.4,5.61,2
14.5,5.67,2
13.3,5.69,2
12.5,5.8,2
13.2,5.83,2
12,5.7,2
14.4,5.84,2
10.1,5.87,2
16.2,5.68,2
13.1,5.82,2
17.9,5.62,2
16,5.81,2
15.3,5.59,2
14.7,5.88,2
15.5,5.8,2
13.5,5.89,2
12.7,5.82,2
14.4,5.84,2
13.2,5.83,2
10.1,5.87,2
12.5,5.8,2
12.6,5.9,2
13.3,5.69,2
15.4,5.77,2
17.3,5.7,2
14.2,5.58,2
13.1,5.98,2
16.4,5.61,2
13.1,5.7,2
14.4,5.84,2
16.4,5.72,2
13.2,5.7,2
12,6.02,2
17.9,5.62,2
14.7,5.53,2
12.7,5.54,2
16.1,5.75,2
14.7,5.74,2
12,5.7,2
13.9,5.7,2
12.3,5.63,2
12.2,5.75,2
11,5.86,2
13.5,5.88,2
13.1,5.82,2
15.3,5.59,2
15.5,5.71,2
16.2,5.68,2
13.7,5.68,2
15.6,5.8,2
13.2,5.96,2
12.6,5.8,2
13.5,6.01,2
16,5.81,2
14.7,5.88,2
11.1,5.9,2
14.5,5.63,2
